andamentos_certos,andamentos_errados
Juntada de Ofício,Sessão de Conciliação realizada sem êxito
Juntada de Aviso de Recebimento (AR),Conclusos
Expedição de Ato Ordinatório,Julgado improcedente o pedido
Expedição de Ofício,Juntada de Aviso de Recebimento Digital (Cumprido)
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Aviso de Recebimento Digital (Cumprido)
Encaminhado edital/relação para publicação,Juntada de Aviso de Recebimento Digital (Não-cumprido)
Proferido despacho de mero expediente,Certidão emitida
Concluso para Despacho,Remetidos os Autos para o Distribuidor Local
Juntada de Petição,Processo Redistribuído por Sorteio
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Concluso para Despacho
Encaminhado edital/relação para publicação,Ato Ordinatório - Intimação dos Advogados das Partes
Despacho determinado a emenda da inicial,Encaminhado edital/relação para publicação
Conclusos,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Processo Distribuído por Sorteio,Decorrido prazo
Juntada de documento,Transitado em Julgado
Juntada de documento,Arquivado Definitivamente
Juntada de documento,Certidão emitida
Juntada de Petição,Conclusos
Concluso para Despacho,Processo Distribuído por Sorteio
Decorrido prazo,Proferido despacho de mero expediente
Juntada de Petição,Encaminhado edital/relação para publicação
Concluso para Despacho,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Expedição de Carta
Encaminhado edital/relação para publicação,Expedição de Carta
Ato Ordinatório - Intimação dos Advogados das Partes,Juntada de Aviso de Recebimento (AR)
Proferido despacho de mero expediente,Juntada de Aviso de Recebimento (AR)
Recebidos os autos,Conclusos
Concluso para Despacho,Juntada de Petição
Juntada de Petição,Proferido despacho de mero expediente
Juntada de Petição,Encaminhado edital/relação para publicação
Remessa dos autos à Vara de Origem,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Recebidos os Autos pela Unidade Judiciária,Proferido despacho de mero expediente
Recebidos os Autos pelo Advogado,Encaminhado edital/relação para publicação
Autos Entregues em Carga ao Advogado,Expedição de Carta
Juntada de Petição,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Expedição de Termo,Audiência Designada
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de documento
Encaminhado edital/relação para publicação,Concluso para Despacho
Expedição de Carta,Juntada de Aviso de Recebimento (AR)
Audiência Designada,Conclusos
Audiência Designada,Certidão emitida
Proferido despacho de mero expediente,Remetidos os Autos para o Distribuidor Local
Concluso para Despacho,Processo Redistribuído por Sorteio
Recebidos os autos,Conclusos
Remetidos os Autos,Concluso para Despacho
Processo Distribuído por Sorteio,Conclusos
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Concluso para Despacho
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Audiência Designada
Concluso para Sentença,Decisão Proferida
Convertido(a) o(a) Julgamento em Diligência,Certidão emitida
Certidão emitida,Expedida carta precatória
Juntada de Aviso de Recebimento (AR),Juntada de documento
Certidão emitida,Juntada de Petição
Juntada de Aviso de Recebimento (AR),Juntada de Carta Precatória/Rogatória
Concluso para Sentença,Concluso para Sentença
Juntada de Petição,Julgado improcedente o pedido
Juntada de Petição,Encaminhado edital/relação para publicação
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Expedição de Termo de Audiência,Transitado em Julgado
Juntada de Petição,Expedição de Certidão de Arquivamento
Encaminhado edital/relação para publicação,Arquivado Definitivamente
Certidão emitida,Processo Distribuído por Sorteio
Expedição de Ato Ordinatório,Conclusos
Certidão emitida,Decisão Proferida
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Proferido despacho de mero expediente,Decorrido prazo
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Remetidos os Autos para o Distribuidor Local
Concluso para Despacho,Processo Redistribuído por Sorteio
Juntada de Petição,Expedição de Ato Ordinatório
Expedição de Carta,Expedição de Carta
Expedição de Carta,Expedição de Carta
Expedição de Mandado,Juntada de Petição
Certidão emitida,Juntada de Aviso de Recebimento (AR)
Certidão emitida,Juntada de Aviso de Recebimento (AR)
Encaminhado edital/relação para publicação,Expedição de Ato Ordinatório
Expedição de Termo de Audiência,Encaminhado edital/relação para publicação
Audiência Designada,Juntada de Petição
Juntada de Parecer do Ministério Público,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Certidão emitida,Expedição de Ato Ordinatório
Certidão emitida,Concluso para Despacho
Proferido despacho de mero expediente,Decisão Proferida
Certidão emitida,Expedição de Mandado
Certidão emitida,Encaminhado edital/relação para publicação
Concluso para Despacho,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Certidão emitida,Juntada de documento
Proferido despacho de mero expediente,Juntada de documento
Concluso para Despacho,Certidão emitida
Juntada de Petição,Certidão emitida
Certidão emitida,Remetidos os Autos para o Distribuidor Local
Expedição de Carta,Processo Redistribuído por Sorteio
Expedição de Carta,Juntada de documento
Certidão emitida,Conclusos
Certidão emitida,Proferido despacho de mero expediente
Decisão Proferida,Encaminhado edital/relação para publicação
