andamentos_certos,andamentos_errados
Audiência preliminar realizada,Conclusos
Audiência preliminar designada,Certidão emitida
Juntada realizada,Remetidos os Autos para o Distribuidor Local
Juntada realizada,Processo Redistribuído por Sorteio
Audiência de conciliação cancelada,Certidão emitida
Entrada de petição de acompanhamento,Concluso para Despacho
Entrada de petição de acompanhamento,Juntada de Petição
Aguardando realização de audiência ,Audiência Designada
Aguardando publicacao,Decisão Proferida
Aguardando publicacao,Certidão emitida
Audiência de conciliação redesignada,Expedida carta precatória
Audiência de conciliação cancelada,Juntada de documento
Juntada realizada,Encaminhado edital/relação para publicação
Aguardando realização de audiência ,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Entrada de petição de acompanhamento,Concluso para Despacho
Aguardando publicacao,Proferido despacho de mero expediente
Audiência de conciliação cancelada,Certidão emitida
Audiência de conciliação designada,Expedição de Ofício
Juntada realizada,Juntada de Carta Precatória/Rogatória
Entrada de petição de acompanhamento,Decisão Proferida
Concluso,Certidão emitida
Recebimento do advogado,Certidão emitida
Vista ao advogado,Expedição de Ofício
Expediente,Concluso para Decisão Interlocutória
Aguardando realização de audiência ,Decisão Proferida
Aguardando publicacao,Juntada de documento
Audiência de conciliação marcada,Juntada de documento
Concluso,Concluso para Decisão Interlocutória
Recebimento do advogado,Outras Decisões
Decorrendo prazo,Certidão emitida
Aguardando publicacao,Expedição de Ofício
Expediente,Juntada de documento
Providências da secretaria,Juntada de Carta Precatória/Rogatória
Juntada realizada,Certidão emitida
Entrada de petição de acompanhamento,Juntada de Petição
Decorrendo prazo,Juntada de documento
Aguardando devolução de a.r.,Processo Distribuído por Sorteio
Providências da secretaria,Conclusos
Expedição de carta de citação,Citação ou notificação da parte
Concluso,Expedição de Carta
Recebimento do advogado,Juntada de Aviso de Recebimento (AR)
Vista ao advogado,Certidão emitida
Expediente,Decorrido prazo
Concluso,Concluso para Despacho
Concluso,Proferido despacho de mero expediente
Providências da secretaria,Encaminhado edital/relação para publicação
Concluso,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Concluso,Juntada de Petição
Carga ao advogado,Juntada de Petição
Juntada de mandado,Prazo alterado pelo ajuste na tabela de feriados
Aguardando devolução de mandado,Prazo alterado pelo ajuste na tabela de feriados
Providências da secretaria,Juntada de Petição
Aguardando,Concluso para Despacho
Expedição de mandado,Proferido despacho de mero expediente
Concluso,Encaminhado edital/relação para publicação
Concluso,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Providências da secretaria,Decorrido prazo
Distribuição automática,Certidão emitida
Em classificação,Remetidos os Autos para o Distribuidor Local
Permitir distribuição,Processo Redistribuído por Sorteio
Protocolado,Conclusos
Decorrido prazo de COELCE em 21/01/2019 23:59:59.,Concluso para Despacho
Decorrido prazo de JOSE ROSENO NETO em 04/02/2019 23:59:59.,Audiência Designada
Juntada de certidão,Decisão Proferida
Juntada de Petição de petição,Certidão emitida
Conclusos para julgamento,Expedição de Mandado
Juntada de certidão,Juntada de documento
Juntada de Petição de contestação,Juntada de documento
Audiência conciliação realizada para   29/11/2018 13:40 02ª Unidade do Juizado Especial Cível.,Certidão emitida
Juntada de Petição de petição,Encaminhado edital/relação para publicação
Juntada de documento de comprovação,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Expedição de Outros documentos.,Concluso para Sentença
Expedição de Outros documentos.,Juntada de Petição
Audiência conciliação designada para   29/11/2018 13:40 02ª Unidade do Juizado Especial Cível.,Julgado improcedente o pedido
Distribuído por sorteio,Encaminhado edital/relação para publicação
Remetido Recurso Eletrônico ao Tribunal de Justiça,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Recebido Recurso Eletrônico,Transitado em Julgado
Remetido Recurso Eletrônico ao Tribunal de Justiça,Certidão emitida
Juntada de documento,Arquivado Definitivamente
Juntada de documento,Expedição de Certidão de Arquivamento
Juntada de Petição,Prazo alterado pelo ajuste na tabela de feriados
Juntada de Aviso de Recebimento (AR),Processo Distribuído por Sorteio
Juntada de documento,Conclusos
Juntada de documento,Citação ou notificação da parte
Juntada de Petição,Encaminhado edital/relação para publicação
Juntada de documento,Certidão emitida
Juntada de documento,Expedição de Carta
Juntada de documento,Expedição de Carta
Juntada de Petição,Certidão emitida
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Prazo alterado pelo ajuste na tabela de feriados
Juntada de Petição,Juntada de Petição
Juntada de documento,Expedição de Ato Ordinatório
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Juntada de Aviso de Recebimento (AR)
Juntada de documento,Certidão emitida
Juntada de Petição,Remetidos os Autos para o Distribuidor Local
Juntada de documento,Processo Redistribuído por Sorteio
Juntada de Aviso de Recebimento (AR),Decisão Proferida
Juntada de documento,Encaminhado edital/relação para publicação
Juntada de documento,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Expedição de Ofício
Juntada de documento,Juntada de Aviso de Recebimento (AR)
Conversão para Processo Digital,Decorrido prazo
Expedição de Ofício,Juntada de Ofício
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Concluso para Despacho
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de documento
Remetidos os Autos,Juntada de Aviso de Recebimento (AR)
Recebidos os autos,Conclusos
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Juntada de Procuração/Substabelecimento,Encaminhado edital/relação para publicação
Prazo alterado pelo ajuste na tabela de feriados,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Concluso para Despacho,Prazo alterado pelo ajuste na tabela de feriados
Juntada de Petição,Juntada de Aviso de Recebimento Digital (Não-cumprido)
Juntada de Recurso,Certidão emitida
Recebidos os autos,Remetidos os Autos para o Distribuidor Local
Remetidos os Autos,Processo Redistribuído por Sorteio
Certidão emitida,Concluso para Despacho
Proferido despacho de mero expediente,Decisão Proferida
Concluso para Despacho,Encaminhado edital/relação para publicação
Juntada de Petição,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Acórdão Disponibilizado no Diário de Justiça Eletrônico,Decorrido prazo
Encaminhado edital/relação para publicação,Conclusos
Recebidos os autos,Concluso para Despacho
Remetidos os Autos,Outras Decisões
Certidão emitida,Encaminhado edital/relação para publicação
Julgado procedente em parte do pedido,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Concluso para Despacho,Concluso para Despacho
Juntada de Petição,Conclusos
Proferido despacho de mero expediente,Audiência Designada
Certidão emitida,Outras Decisões
Encaminhado edital/relação para publicação,Certidão emitida
Recebidos os autos,Expedida carta precatória
Remetidos os Autos,Juntada de documento
Proferido despacho de mero expediente,Certidão emitida
Prazo alterado pelo ajuste na tabela de feriados,Prazo alterado pelo ajuste na tabela de feriados
Prazo alterado pelo ajuste na tabela de feriados,Processo Distribuído por Sorteio
Prazo alterado pelo ajuste na tabela de feriados,Conclusos
Concluso para Despacho,Citação ou notificação da parte
juntada de,Expedição de Carta
Juntada de informações,Encaminhado edital/relação para publicação
Certidão emitida,Juntada de Petição
Expedição de Termo de Audiência,Juntada de Petição
juntada de,Expedição de Ato Ordinatório
Expedição de Carta,Expedição de Carta
Expedição de Carta,Expedição de Carta
Expedição de Carta,Certidão emitida
Audiência Designada,Encaminhado edital/relação para publicação
Proferido despacho de mero expediente,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Concluso para Despacho,Juntada de Aviso de Recebimento (AR)
Recebidos os autos,Audiência Designada
Remetidos os Autos,Juntada de Aviso de Recebimento (AR)
Processo Distribuído por Sorteio,Expedição de Termo de Audiência
Expedição de Certidão de Arquivamento,Juntada de documento
Arquivado Definitivamente,Juntada de Aviso de Recebimento (AR)
Certidão emitida,Expedição de Ato Ordinatório
Transitado em Julgado,Encaminhado edital/relação para publicação
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição
Encaminhado edital/relação para publicação,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Indeferida a petição inicial,Concluso para Despacho
Concluso para Despacho,Decisão Proferida
Juntada de Petição,Encaminhado edital/relação para publicação
Custas Processuais Emitidas,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Certidão emitida,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de documento,Decorrido prazo
Juntada de Aviso de Recebimento Digital (Cumprido),Conclusos
Certidão emitida,Certidão emitida
Juntada de Aviso de Recebimento (AR),Remetidos os Autos para o Distribuidor Local
Expedição de Carta,Processo Redistribuído por Sorteio
Proferido despacho de mero expediente,Certidão emitida
Concluso para Despacho,Concluso para Despacho
Juntada de Aviso de Recebimento Digital (Não-cumprido),Proferido despacho de mero expediente
Certidão emitida,Expedição de Mandado
Juntada de Aviso de Recebimento (AR),Encaminhado edital/relação para publicação
Certidão emitida,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Prazo alterado pelo ajuste na tabela de feriados,Juntada de documento
Expedição de Carta,Juntada de documento
Certidão emitida,Certidão emitida
Expedição de Ato Ordinatório,Juntada de documento
Proferido despacho de mero expediente,Ato Ordinatório - Intimação dos Advogados das Partes
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Encaminhado edital/relação para publicação
Encaminhado edital/relação para publicação,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Proferido despacho de mero expediente,Juntada de Petição
Conclusos,Juntada de Petição
Juntada de Petição,Certidão emitida
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Concluso para Sentença
Encaminhado edital/relação para publicação,Decorrido prazo
Proferido despacho de mero expediente,Julgado improcedente o pedido
Conclusos,Encaminhado edital/relação para publicação
Juntada de Petição,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Transitado em Julgado
Encaminhado edital/relação para publicação,Certidão emitida
Proferido despacho de mero expediente,Arquivado Definitivamente
Concluso para Despacho,Processo Distribuído por Sorteio
Certidão emitida,Conclusos
Conclusos,Decisão Proferida
Processo Redistribuído por Sorteio,Expedição de Carta
Remetidos os Autos para o Distribuidor Local,Expedição de Mandado
Certidão emitida,Juntada de mandado
Conclusos,Certidão emitida
Concluso para Despacho,Juntada de Petição
Juntada de Petição,Remetidos os Autos para o Distribuidor Local
Processo Redistribuído por Sorteio,Processo Redistribuído por Sorteio
Decisão Proferida,Proferido despacho de mero expediente
Processo Distribuído por Sorteio,Certidão emitida
Certidão emitida,Encaminhado edital/relação para publicação
Certidão emitida,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Certidão emitida,Decorrido prazo
Expedição de Carta,Concluso para Despacho
Expedição de Carta,Decisão Proferida
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Expedição de Ofício
Encaminhado edital/relação para publicação,Certidão emitida
Certidão emitida,Juntada de Aviso de Recebimento (AR)
Despacho designando audiência,Encaminhado edital/relação para publicação
Concluso para Despacho,Juntada de Ofício
Juntada de Petição,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Conclusos
Juntada de Petição,Proferido despacho de mero expediente
Conclusos,Encaminhado edital/relação para publicação
Juntada de Petição,Juntada de Petição
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição
Encaminhado edital/relação para publicação,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Proferido despacho de mero expediente,Certidão emitida
Juntada de Petição,Remetidos os Autos para o Distribuidor Local
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Processo Redistribuído por Sorteio
Encaminhado edital/relação para publicação,Concluso para Despacho
Proferido despacho de mero expediente,Conclusos
Audiência Designada,Concluso para Despacho
Juntada de Petição,Audiência Designada
Concluso para Despacho,Decisão Proferida
Juntada de Petição,Certidão emitida
Juntada de Petição,Expedida carta precatória
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Encaminhado edital/relação para publicação
Encaminhado edital/relação para publicação,Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Proferido despacho de mero expediente,Juntada de documento
Certidão emitida,Juntada de Carta Precatória/Rogatória
Conclusos,Concluso para Decisão Interlocutória
Juntada de Petição,Concluso para Despacho
Processo Redistribuído por Sorteio,Audiência Designada
Remetidos os Autos para o Distribuidor Local,Decisão Proferida
Certidão emitida,Certidão emitida
Juntada de documento,Expedida carta precatória
Concluso para Despacho,Juntada de Petição
Juntada de Petição,Conclusos
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Concluso para Despacho
Juntada de Aviso de Recebimento (AR),Juntada de Carta Precatória/Rogatória
Juntada de Aviso de Recebimento (AR),Julgado improcedente o pedido
Juntada de Aviso de Recebimento (AR),Encaminhado edital/relação para publicação
Juntada de Aviso de Recebimento (AR),Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico
Juntada de Aviso de Recebimento (AR),Transitado em Julgado
Expedição de Carta,Arquivado Definitivamente
Expedição de Carta,Expedição de Certidão de Arquivamento
Expedição de Carta,Distribuído por sorteio
Expedição de Carta,Conclusos para despacho
Encaminhado edital/relação para publicação,Juntada de Petição de petição
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Conclusos,Juntada de Petição de petição
Juntada de documento,Redistribuído por sorteio em razão de incompetência
Certidão emitida,Conclusos para despacho
Concluso para Despacho,Conclusos para julgamento
Juntada de Petição,Indeferida a petição inicial
Juntada de Petição,Juntada de documento de comprovação
Proferido despacho de mero expediente,Expedição de Citação.
Concluso para Despacho,Expedição de Outros documentos.
Juntada de Petição,Juntada de certidão
Juntada de Petição,Arquivado Definitivamente
Juntada de Aviso de Recebimento (AR),Distribuído por sorteio
Expedição de Carta,Conclusos para despacho
Juntada de Petição,Juntada de Petição de petição
Juntada de Petição,Proferido despacho de mero expediente
Juntada de Petição,Juntada de Petição de petição
Juntada de documento,Redistribuído por sorteio em razão de incompetência
Expedição de Termo de Audiência,Conclusos para despacho
Juntada de Petição,Conclusos para julgamento
Juntada de Petição,Indeferida a petição inicial
Encaminhado edital/relação para publicação,Juntada de documento de comprovação
Proferido despacho de mero expediente,Expedição de Citação.
Audiência Designada,Expedição de Outros documentos.
Conclusos,Juntada de certidão
Juntada de Petição,Arquivado Definitivamente
Juntada de Petição,Distribuído por sorteio
Juntada de Petição,Conclusos para despacho
Juntada de Aviso de Recebimento (AR),Juntada de Petição de petição
Juntada de documento,Proferido despacho de mero expediente
Juntada de Petição,Juntada de Petição de petição
Juntada de Petição,Redistribuído por sorteio em razão de incompetência
Juntada de Petição,Conclusos para despacho
Juntada de documento,Conclusos para julgamento
Juntada de documento,Indeferida a petição inicial
Juntada de documento,Juntada de documento de comprovação
Juntada de documento,Expedição de Citação.
Juntada de documento,Expedição de Outros documentos.
Juntada de documento,Juntada de certidão
Juntada de documento,Arquivado Definitivamente
Juntada de documento,Distribuído por sorteio
Juntada de documento,Conclusos para despacho
Juntada de documento,Juntada de Petição de petição
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Juntada de Petição de petição
Juntada de documento,Redistribuído por sorteio em razão de incompetência
Juntada de documento,Conclusos para despacho
Juntada de documento,Conclusos para julgamento
Juntada de documento,Indeferida a petição inicial
Juntada de documento,Juntada de documento de comprovação
Juntada de documento,Expedição de Citação.
Juntada de documento,Expedição de Outros documentos.
Juntada de documento,Juntada de certidão
Juntada de documento,Arquivado Definitivamente
Juntada de documento,Distribuído por sorteio
Juntada de documento,Conclusos para despacho
Juntada de documento,Juntada de Petição de petição
Juntada de Petição,Proferido despacho de mero expediente
Juntada de Petição,Juntada de Petição de petição
Concluso para Despacho,Redistribuído por sorteio em razão de incompetência
Entrada de petição de acompanhamento,Conclusos para despacho
Entrada de petição de acompanhamento,Conclusos para julgamento
Autos entregues com carga/vista ao advogado,Indeferida a petição inicial
Juntada de documento,Juntada de documento de comprovação
Juntada de documento,Expedição de Citação.
Juntada de documento,Expedição de Outros documentos.
Entrada de petição de acompanhamento,Juntada de certidão
Juntada de documento,Arquivado Definitivamente
Juntada de documento,Distribuído por sorteio
Remessa dos autos,Conclusos para despacho
Remessa dos autos,Juntada de Petição de petição
Remessa dos autos,Proferido despacho de mero expediente
Remessa dos autos,Juntada de Petição de petição
Remessa dos autos,Redistribuído por sorteio em razão de incompetência
Remessa dos autos,Conclusos para despacho
Concluso ao juiz,Conclusos para julgamento
Concluso ao juiz,Indeferida a petição inicial
Remessa dos autos,Juntada de documento de comprovação
Remessa dos autos,Expedição de Citação.
Concluso ao juiz,Expedição de Outros documentos.
Despacho/decisão enviado para disponibilização no diário da justiça eletrônico,Juntada de certidão
Remessa dos autos,Arquivado Definitivamente
Entrada de petição de acompanhamento,Distribuído por sorteio
Remessa dos autos,Audiência conciliação designada para   27/11/2017 09:00 3º Juizado Especial Cível e Criminal.
Juntada de documento,Expedição de Outros documentos.
Concluso ao juiz,Conclusos para decisão
Distribuição por sorteio,Proferido despacho de mero expediente
Em classificação,Expedição de Outros documentos.
Processo apto a ser distribuído,Audiência conciliação cancelada para   27/11/2017 09:00 #Não preenchido#.
Protocolizada Petição,Juntada de certidão
Concluso para Sentença,Conclusos para julgamento
Juntada de Petição,Proferido despacho de mero expediente
Certidão emitida,Expedição de Outros documentos.
Certidão emitida,Expedição de Citação.
Proferido despacho de mero expediente,Juntada de documento de comprovação
Concluso para Despacho,Juntada de Petição de documento de comprovação
Decorrido prazo,Juntada de documento de comprovação
Juntada de Petição,Juntada de Petição de petição
Juntada de Petição,Conclusos para despacho
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Proferido despacho de mero expediente
Encaminhado edital/relação para publicação,Expedição de Outros documentos.
Proferido despacho de mero expediente,Conclusos para julgamento
Juntada de Petição,Redistribuído por competência exclusiva em razão de criação de unidade judiciária
Juntada de Petição,Conclusos para julgamento
Juntada de Petição,Julgado improcedente o pedido
Juntada de documento,Expedição de Outros documentos.
Concluso ao juiz,Juntada de Petição de apelação
Concluso para julgamento,Conclusos para decisão
Concluso para julgamento,Juntada de certidão
Redistribuição automática,Proferido despacho de mero expediente
Permitir redistribuição,Determinada Requisição de Informações
Remessa à distribuição,Expedição de Outros documentos.
Concluso para julgamento,Juntada de certidão
Vista ao ministério público,Conclusos para decisão
Aguardando juntada,Juntada de certidão
Decorrendo prazo,Juntada de Petição de certidão
Aguardando publicacao,Não recebido o recurso de  RONALDO JOAO SCHERMA ZUNTINI - CPF: 037.696.558-42 (AUTOR).
Publicação de intimação,Transitado em julgado em 21/02/2019
Aguardando juntada,Arquivado Definitivamente
Decorrendo prazo,Distribuído por sorteio
Aguardando devolução de mandado,Audiência conciliação designada para   27/11/2017 09:00 3º Juizado Especial Cível e Criminal.
Conclusão,Expedição de Outros documentos.
Conclusão,Conclusos para decisão
Distribuição automática,Proferido despacho de mero expediente
Permitir distribuição,Expedição de Outros documentos.
Em classificação,Audiência conciliação cancelada para   27/11/2017 09:00 #Não preenchido#.
Protocolado,Juntada de certidão
Juntada de Petição,Conclusos para julgamento
Decorrido prazo,Proferido despacho de mero expediente
Concluso para Sentença,Expedição de Outros documentos.
Juntada de Petição,Expedição de Citação.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de documento de comprovação
Encaminhado edital/relação para publicação,Juntada de Petição de documento de comprovação
Outras Decisões,Juntada de documento de comprovação
Concluso para Sentença,Juntada de Petição de petição
Concluso para Despacho,Conclusos para despacho
Juntada de Petição,Proferido despacho de mero expediente
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Expedição de Outros documentos.
Encaminhado edital/relação para publicação,Conclusos para julgamento
Proferido despacho de mero expediente,Redistribuído por competência exclusiva em razão de criação de unidade judiciária
Concluso para Despacho,Conclusos para julgamento
Juntada de Petição,Julgado improcedente o pedido
Juntada de Petição,Expedição de Outros documentos.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição de apelação
Encaminhado edital/relação para publicação,Conclusos para decisão
Proferido despacho de mero expediente,Juntada de certidão
Concluso para Despacho,Proferido despacho de mero expediente
Juntada de Petição,Determinada Requisição de Informações
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Expedição de Outros documentos.
Encaminhado edital/relação para publicação,Juntada de certidão
Proferido despacho de mero expediente,Conclusos para decisão
Concluso para Despacho,Juntada de certidão
Juntada de Petição,Juntada de Petição de certidão
Certidão emitida,Não recebido o recurso de  RONALDO JOAO SCHERMA ZUNTINI - CPF: 037.696.558-42 (AUTOR).
Certidão emitida,Transitado em julgado em 21/02/2019
Expedição de Carta,Arquivado Definitivamente
Proferido despacho de mero expediente,Distribuído por sorteio
Conclusos,Audiência conciliação designada para   27/11/2017 09:00 3º Juizado Especial Cível e Criminal.
Processo Distribuído por Sorteio,Expedição de Outros documentos.
Processo apensado,Conclusos para decisão
Certidão emitida,Proferido despacho de mero expediente
Proferido despacho de mero expediente,Expedição de Outros documentos.
Conclusos,Audiência conciliação cancelada para   27/11/2017 09:00 #Não preenchido#.
Processo Redistribuído por Dependência,Juntada de certidão
Remessa dos Autos para fins de Redistribuição,Conclusos para julgamento
Certidão emitida,Proferido despacho de mero expediente
Decorrido prazo,Expedição de Outros documentos.
Decorrido prazo,Expedição de Citação.
Certidão emitida,Juntada de documento de comprovação
Juntada de documento,Juntada de Petição de documento de comprovação
Juntada de documento,Juntada de documento de comprovação
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição de petição
Expedição de Mandado,Conclusos para despacho
Encaminhado edital/relação para publicação,Proferido despacho de mero expediente
Declarada incompetência,Expedição de Outros documentos.
Concluso para Despacho,Conclusos para julgamento
Juntada de Petição,Redistribuído por competência exclusiva em razão de criação de unidade judiciária
Juntada de Aviso de Recebimento Digital (Não-cumprido),Conclusos para julgamento
Expedição de Carta,Julgado improcedente o pedido
Citação ou notificação da parte,Expedição de Outros documentos.
Conclusos,Juntada de Petição de apelação
Processo Distribuído por Sorteio,Conclusos para decisão
Concluso para Decisão Interlocutória,Juntada de certidão
Juntada de Petição,Proferido despacho de mero expediente
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Determinada Requisição de Informações
Encaminhado edital/relação para publicação,Expedição de Outros documentos.
Proferido despacho de mero expediente,Juntada de certidão
Conclusos,Conclusos para decisão
Decorrido prazo,Juntada de certidão
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de Petição de certidão
Encaminhado edital/relação para publicação,Não recebido o recurso de  RONALDO JOAO SCHERMA ZUNTINI - CPF: 037.696.558-42 (AUTOR).
Expedição de Ato Ordinatório,Transitado em julgado em 21/02/2019
Decorrido prazo,Arquivado Definitivamente
Juntada de Aviso de Recebimento Digital (Cumprido),Distribuído por sorteio
Certidão emitida,Audiência conciliação designada para   27/11/2017 09:00 3º Juizado Especial Cível e Criminal.
Juntada de Aviso de Recebimento (AR),Expedição de Outros documentos.
Expedição de Carta,Conclusos para decisão
Proferido despacho de mero expediente,Proferido despacho de mero expediente
Concluso para Despacho,Expedição de Outros documentos.
Juntada de Petição,Audiência conciliação cancelada para   27/11/2017 09:00 #Não preenchido#.
Custas Processuais Pagas,Juntada de certidão
Custas Processuais Emitidas,Conclusos para julgamento
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Proferido despacho de mero expediente
Encaminhado edital/relação para publicação,Expedição de Outros documentos.
Proferido despacho de mero expediente,Expedição de Citação.
Conclusos,Juntada de documento de comprovação
Juntada de Petição,Juntada de Petição de documento de comprovação
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Juntada de documento de comprovação
Encaminhado edital/relação para publicação,Juntada de Petição de petição
Proferido despacho de mero expediente,Conclusos para despacho
Concluso para Despacho,Proferido despacho de mero expediente
Transitado em Julgado,Expedição de Outros documentos.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Conclusos para julgamento
Encaminhado edital/relação para publicação,Redistribuído por competência exclusiva em razão de criação de unidade judiciária
Julgado improcedente o pedido,Conclusos para julgamento
Juntada de documento,Julgado improcedente o pedido
Juntada de Petição,Expedição de Outros documentos.
Juntada de documento,Juntada de Petição de apelação
Juntada de documento,Conclusos para decisão
Juntada de documento,Juntada de certidão
Juntada de documento,Proferido despacho de mero expediente
Juntada de Aviso de Recebimento (AR),Determinada Requisição de Informações
Juntada de documento,Expedição de Outros documentos.
Juntada de documento,Juntada de certidão
Juntada de documento,Conclusos para decisão
Juntada de documento,Juntada de certidão
Juntada de documento,Juntada de Petição de certidão
Juntada de documento,Não recebido o recurso de  RONALDO JOAO SCHERMA ZUNTINI - CPF: 037.696.558-42 (AUTOR).
Juntada de documento,Transitado em julgado em 21/02/2019
Juntada de documento,Arquivado Definitivamente
Juntada de documento,Distribuído por sorteio
Juntada de documento,Audiência conciliação designada para   27/11/2017 09:00 3º Juizado Especial Cível e Criminal.
Juntada de documento,Expedição de Outros documentos.
Juntada de Petição,Conclusos para decisão
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Expedição de Outros documentos.
Juntada de documento,Audiência conciliação cancelada para   27/11/2017 09:00 #Não preenchido#.
Juntada de documento,Juntada de certidão
Juntada de documento,Conclusos para julgamento
Juntada de documento,Proferido despacho de mero expediente
Juntada de documento,Expedição de Outros documentos.
Juntada de documento,Expedição de Citação.
Juntada de documento,Juntada de documento de comprovação
Juntada de documento,Juntada de Petição de documento de comprovação
Juntada de documento,Juntada de documento de comprovação
Juntada de documento,Juntada de Petição de petição
Juntada de documento,Conclusos para despacho
Juntada de documento,Proferido despacho de mero expediente
Concluso ao juiz,Expedição de Outros documentos.
Concluso ao juiz,Conclusos para julgamento
Concluso ao juiz,Redistribuído por competência exclusiva em razão de criação de unidade judiciária
Expedição de documento,Conclusos para julgamento
Expedição de documento,Julgado improcedente o pedido
Concluso ao juiz,Expedição de Outros documentos.
Entrada de petição de acompanhamento,Juntada de Petição de apelação
Expedição de documento,Conclusos para decisão
Remessa dos autos,Juntada de certidão
Expedição de documento,Proferido despacho de mero expediente
Concluso ao juiz,Determinada Requisição de Informações
Concluso ao juiz,Expedição de Outros documentos.
Distribuição por sorteio,Juntada de certidão
Em classificação,Conclusos para decisão
Processo apto a ser distribuído,Juntada de certidão
Protocolizada Petição,Juntada de Petição de certidão
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Não recebido o recurso de  RONALDO JOAO SCHERMA ZUNTINI - CPF: 037.696.558-42 (AUTOR).
Conclusos,Transitado em julgado em 21/02/2019
Juntada de documento,Arquivado Definitivamente
Juntada de Petição,Distribuído por sorteio
Juntada de documento,Audiência conciliação designada para   27/11/2017 09:00 3º Juizado Especial Cível e Criminal.
Juntada de Ofício,Expedição de Outros documentos.
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Conclusos para decisão
Encaminhado edital/relação para publicação,Proferido despacho de mero expediente
Certidão emitida,Expedição de Outros documentos.
Proferido despacho de mero expediente,Audiência conciliação cancelada para   27/11/2017 09:00 #Não preenchido#.
Concluso para Despacho,Juntada de certidão
Juntada de Petição,Conclusos para julgamento
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Proferido despacho de mero expediente
Encaminhado edital/relação para publicação,Expedição de Outros documentos.
Transitado em Julgado,Expedição de Citação.
Citação ou notificação da parte,Juntada de documento de comprovação
Concluso para Despacho,Juntada de Petição de documento de comprovação
Juntada do cumprimento de sentença,Juntada de documento de comprovação
Processo entranhado,Juntada de Petição de petição
Execução de sentença iniciada,Conclusos para despacho
Despacho/Decisão disponibilizado no Diário de Justiça Eletrônico,Proferido despacho de mero expediente
Encaminhado edital/relação para publicação,Expedição de Outros documentos.
Julgado procedente em parte do pedido,Conclusos para julgamento
Concluso para Sentença,Redistribuído por competência exclusiva em razão de criação de unidade judiciária
